,overview,family,salary
born,"['December 18', '1963', 'Shawnee, Oklahoma, USA']",,
birth name,William Bradley Pitt,,
height,"5'11""(1.8m)",,
spouse,,"['Angelina Jolie ', 'Jennifer Aniston ']",
Children,,"['MaddoxJolie-Pitt', 'ShilohJolie-Pitt', 'PaxJolie-Pitt', 'VivienneJolie-Pitt', 'KnoxJolie-Pitt', 'ZaharaJolie-Pitt', 'ZaharaJolie-Pitt']",
Parents,,"['Pitt,WilliamAlvin', 'Pitt,JaneEtta']",
Relatives,,"['Pitt,Douglas', 'JuliePitt']",
Less Than Zero,,,"['(1987)', '$38']"
Cutting Class,,,"['(1989)', '$12,000']"
Thelma & Louise,,,"['(1991)', '$6,000']"
Kalifornia,,,"['(1993)', '$500,000']"
Interview with the Vampire: The Vampire Chronicles,,,"['(1994)', '$3,000,000']"
Se7en,,,"['(1995)', '$4,000,000']"
Sleepers,,,"['(1996)', '$10,000,000']"
The Devil's Own,,,"['(1997)', '$8,000,000']"
Seven Years in Tibet,,,"['(1997)', '$10,000,000']"
Meet Joe Black,,,"['(1998)', '$17,500,000']"
Fight Club,,,"['(1999)', '$17,500,000']"
The Mexican,,,"['(2001)', '$5,000,000', '(Pay', 'cut', ')']"
Spy Game,,,"['(2001)', '$17,500,000']"
Ocean's Eleven,,,"['(2001)', '$30,000,000', '($10m', 'salary', '+', 'backend', 'participations)']"
Troy,,,"['(2004)', '$17,500,000']"
Mr. & Mrs. Smith,,,"['(2005)', '$20,000,000']"
The Assassination of Jesse James by the Coward Robert Ford,,,"['(2007)', '$1,000,000']"
Inglourious Basterds,,,"['(2009)', '$10,000,000']"
Once Upon a Time in... Hollywood,,,"['(2019)', '$10,000,000']"
